Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;cgClassificationNewStyle6_GLSchemeCode;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;TypeCode;TypeDescriptionDescription;BalanceSideDescription;BalanceSideCode;InterpretationHint;SemanticDescription
256;Cumulatieve afschrijvingen bedrijfsinventaris 2;B;Balans;RGS versie 3.5;BMvaBeiCae;Cumulatieve afschrijvingen en waardeverminderingen inventaris;35;Cumulatieve afschrijvingen;Credit;C;BOTH;"cumulatieve afschrijvingen bedrijfsinventaris 2 | tags: afschrijving; balans_en_w&v"
260;Vervoermiddelen;B;Balans;RGS versie 3.5;BMvaTevVvp;Verkrijgings- of vervaardigingsprijs automobielen en overige transportmiddelen;30;Vaste activa;Debet;D;BALANS;"vervoermiddelen | tags: auto; balans; vervoermiddel"
261;Cumulatieve afschrijvingen vervoermiddelen;B;Balans;RGS versie 3.5;BMvaTevCae;Cumulatieve afschrijvingen en waardeverminderingen automobielen en overige transportmiddelen;35;Cumulatieve afschrijvingen;Credit;C;BOTH;"cumulatieve afschrijvingen vervoermiddelen | tags: afschrijving; auto; balans_en_w&v; vervoermiddel"
290;Herwaardering activa;B;Balans;RGS versie 3.5;BMvaBegCuh;Cumulatieve herwaarderingen bedrijfsgebouwen;32;Overige activa;Debet;D;BALANS;herwaardering activa | tags: balans
300;Waarborgsommen;B;Balans;RGS versie 3.5;BVorOvrWbs;Waarborgsommen overige vorderingen;32;Overige activa;Credit;C;BALANS;waarborgsommen | tags: balans
500;Deelneming 1;B;Balans;RGS versie 3.5;BFvaDigNev;Verkrijgingsprijs deelnemingen in groepsmaatschappijen;32;Overige activa;Debet;D;BALANS;deelneming 1 | tags: balans
510;Deelneming 2;B;Balans;RGS versie 3.5;BFvaDigNev;Verkrijgingsprijs deelnemingen in groepsmaatschappijen;32;Overige activa;Debet;D;BALANS;deelneming 2 | tags: balans
520;Deelneming 3;B;Balans;RGS versie 3.5;BFvaDigNev;Verkrijgingsprijs deelnemingen in groepsmaatschappijen;32;Overige activa;Debet;D;BALANS;deelneming 3 | tags: balans
530;Deelneming 4;B;Balans;RGS versie 3.5;BFvaDigNev;Verkrijgingsprijs deelnemingen in groepsmaatschappijen;32;Overige activa;Debet;D;BALANS;deelneming 4 | tags: balans
540;Deelneming 5;B;Balans;RGS versie 3.5;BFvaDigNev;Verkrijgingsprijs deelnemingen in groepsmaatschappijen;32;Overige activa;Debet;D;BALANS;deelneming 5 | tags: balans
550;Actieve belastinglatentie;B;Balans;RGS versie 3.5;BFvaLbvBll;Compensabele verliezen;32;Overige activa;Debet;D;BALANS;actieve belastinglatentie | tags: balans
560;Lening u/g M. van Hattem;B;Balans;RGS versie 3.5;BFvaOvrOvl;Hoofdsom overige financiële vaste activa (langlopend);32;Overige activa;Debet;D;BOTH;"lening u/g m. van hattem | tags: balans_en_w&v; lening"
561;Lening u/g 2;B;Balans;RGS versie 3.5;BFvaOvrOvl;Hoofdsom overige financiële vaste activa (langlopend);32;Overige activa;Debet;D;BOTH;"lening u/g 2 | tags: balans_en_w&v; lening"
562;Lening u/g 3;B;Balans;RGS versie 3.5;BFvaOvrOvl;Hoofdsom overige financiële vaste activa (langlopend);32;Overige activa;Debet;D;BOTH;"lening u/g 3 | tags: balans_en_w&v; lening"
563;Lening u/g 4;B;Balans;RGS versie 3.5;BFvaOvrOvl;Hoofdsom overige financiële vaste activa (langlopend);32;Overige activa;Debet;D;BOTH;"lening u/g 4 | tags: balans_en_w&v; lening"
564;Lening u/g 5;B;Balans;RGS versie 3.5;BFvaOvrOvl;Hoofdsom overige financiële vaste activa (langlopend);32;Overige activa;Debet;D;BOTH;"lening u/g 5 | tags: balans_en_w&v; lening"
600;Effecten;B;Balans;RGS versie 3.5;BEffOveOeb;Overige effecten beursgenoteerde effecten;32;Overige activa;Debet;D;BALANS;effecten | tags: balans
700;Aandelenkapitaal;B;Balans;RGS versie 3.5;BEivGokGea;Normale aandelen aandelenkapitaal;50;Eigen vermogen;Credit;C;BALANS;aandelenkapitaal | tags: balans
710;Agioreserve;B;Balans;RGS versie 3.5;BEivAgiAgi;Agioreserve agio;50;Eigen vermogen;Credit;C;BALANS;agioreserve | tags: balans
720;Herwaarderingsreserve;B;Balans;RGS versie 3.5;BEivHerHew;Herwaardering herwaarderingsreserves;50;Eigen vermogen;Credit;C;BALANS;herwaarderingsreserve | tags: balans
721;Wettelijke reserve;B;Balans;RGS versie 3.5;BEivWerRed;Wettelijke reserve deelnemingen;50;Eigen vermogen;Credit;C;BALANS;wettelijke reserve | tags: balans
750;Overige reserve;B;Balans;RGS versie 3.5;BEivOreOvw;Niet verdeelde winst onverdeelde winst;50;Eigen vermogen;Credit;C;BALANS;overige reserve | tags: balans
751;Onverdeeld resultaat;B;Balans;RGS versie 3.5;BEivOreOvw;Niet verdeelde winst onverdeelde winst;52;Nog te verdelen resultaat;Credit;C;BALANS;onverdeeld resultaat | tags: balans
760;Kapitaal M. van Hattem;B;Balans;RGS versie 3.5;BEivKapOnd;Ondernemingsvermogen exclusief fiscale reserves fiscaal eigen vermogen onderneming natuurlijke personen;50;Eigen vermogen;Credit;C;BALANS;kapitaal m. van hattem | tags: balans
765;Kapitaalmutaties vennoot 1;B;Balans;RGS versie 3.5;BEivKapOnd;Ondernemingsvermogen exclusief fiscale reserves fiscaal eigen vermogen onderneming natuurlijke personen;50;Eigen vermogen;Credit;C;BOTH;kapitaalmutaties vennoot 1 | tags: balans_en_w&v
770;Kapitaal vennoot 2;B;Balans;RGS versie 3.5;BEivGokGea;Normale aandelen aandelenkapitaal;50;Eigen vermogen;Credit;C;BALANS;kapitaal vennoot 2 | tags: balans
775;Kapitaalmutaties vennoot 2;B;Balans;RGS versie 3.5;BEivKapOnd;Ondernemingsvermogen exclusief fiscale reserves fiscaal eigen vermogen onderneming natuurlijke personen;50;Eigen vermogen;Credit;C;BOTH;kapitaalmutaties vennoot 2 | tags: balans_en_w&v
780;Kapitaal vennoot 3;B;Balans;RGS versie 3.5;BEivGokGea;Normale aandelen aandelenkapitaal;50;Eigen vermogen;Credit;C;BALANS;kapitaal vennoot 3 | tags: balans
785;Kapitaalmutaties vennoot 3;B;Balans;RGS versie 3.5;BEivKapOnd;Ondernemingsvermogen exclusief fiscale reserves fiscaal eigen vermogen onderneming natuurlijke personen;50;Eigen vermogen;Credit;C;BOTH;kapitaalmutaties vennoot 3 | tags: balans_en_w&v
800;Pensioenvoorziening;B;Balans;RGS versie 3.5;BVrzVvpVpd;Voorziening voor pensioenen directie in eigen beheer voorziening voor pensioenen;27;Voorzieningen;Credit;C;BOTH;pensioenvoorziening | tags: balans_en_w&v
801;Garantievoorziening;B;Balans;RGS versie 3.5;BVrzOvzGar;Garantievoorziening;27;Voorzieningen;Credit;C;BOTH;garantievoorziening | tags: balans_en_w&v
802;Voorziening groot onderhoud;B;Balans;RGS versie 3.5;BVrzOvzVvg;Voorziening voor groot onderhoud;27;Voorzieningen;Credit;C;BOTH;voorziening groot onderhoud | tags: balans_en_w&v
803;Voorziening belastinglatentie;B;Balans;RGS versie 3.5;BVrzVvbVlb;Voorziening voor latente belastingverplichtingen voorziening voor belastingen;27;Voorzieningen;Credit;C;BOTH;voorziening belastinglatentie | tags: balans_en_w&v
850;Voorziening deelneming 1;B;Balans;RGS versie 3.5;BVrzOvzVid;Voorziening in verband met deelnemingen;27;Voorzieningen;Credit;C;BOTH;voorziening deelneming 1 | tags: balans_en_w&v
860;Voorziening deelneming 2;B;Balans;RGS versie 3.5;BVrzOvzVid;Voorziening in verband met deelnemingen;27;Voorzieningen;Credit;C;BOTH;voorziening deelneming 2 | tags: balans_en_w&v
870;Voorziening deelneming 3;B;Balans;RGS versie 3.5;BVrzOvzVid;Voorziening in verband met deelnemingen;27;Voorzieningen;Credit;C;BOTH;voorziening deelneming 3 | tags: balans_en_w&v
880;Voorziening deelneming 4;B;Balans;RGS versie 3.5;BVrzOvzVid;Voorziening in verband met deelnemingen;27;Voorzieningen;Credit;C;BOTH;voorziening deelneming 4 | tags: balans_en_w&v
890;Voorziening deelneming 5;B;Balans;RGS versie 3.5;BVrzOvzVid;Voorziening in verband met deelnemingen;27;Voorzieningen;Credit;C;BOTH;voorziening deelneming 5 | tags: balans_en_w&v
900;Accumulated repayment loan M. van Hattem;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BALANS;accumulated repayment loan m. van hattem | tags: balans
901;Cumulatieve aflossingen hypothecaire lening 1;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen hypothecaire lening 1 | tags: balans_en_w&v; lening"
902;Hypothecaire lening 2;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"hypothecaire lening 2 | tags: balans_en_w&v; lening"
903;Cumulatieve aflossingen hypothecaire lening 2;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen hypothecaire lening 2 | tags: balans_en_w&v; lening"
904;Hypothecaire lening 3;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"hypothecaire lening 3 | tags: balans_en_w&v; lening"
905;Cumulatieve aflossingen hypothecaire lening 3;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen hypothecaire lening 3 | tags: balans_en_w&v; lening"
906;Hypothecaire lening 4;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"hypothecaire lening 4 | tags: balans_en_w&v; lening"
907;Cumulatieve aflossingen hypothecaire lening 4;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen hypothecaire lening 4 | tags: balans_en_w&v; lening"
908;Hypothecaire lening 5;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"hypothecaire lening 5 | tags: balans_en_w&v; lening"
909;Cumulatieve aflossingen hypothecaire lening 5;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen hypothecaire lening 5 | tags: balans_en_w&v; lening"
920;Lening o/g Apple iPhone 17 Pro Max - Vodafone;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"lening o/g apple iphone 17 pro max - vodafone | tags: balans_en_w&v; lening"
921;Accumulated repayment loan o/g Apple iPhone 17 Pro Max;B;Balans;RGS versie 3.5;BLasAclAll;Hoofdsom achtergestelde schulden (langlopend);55;Langlopende schulden;Debet;D;BALANS;accumulated repayment loan o/g apple iphone 17 pro max | tags: balans
922;Lening o/g 2;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"lening o/g 2 | tags: balans_en_w&v; lening"
923;Cumulatieve aflossingen lening o/g 2;B;Balans;RGS versie 3.5;BLasAclAll;Hoofdsom achtergestelde schulden (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen lening o/g 2 | tags: balans_en_w&v; lening"
924;Lening o/g 3;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"lening o/g 3 | tags: balans_en_w&v; lening"
925;Cumulatieve aflossingen lening o/g 3;B;Balans;RGS versie 3.5;BLasAclAll;Hoofdsom achtergestelde schulden (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen lening o/g 3 | tags: balans_en_w&v; lening"
926;Lening o/g 4;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"lening o/g 4 | tags: balans_en_w&v; lening"
927;Cumulatieve aflossingen lening o/g 4;B;Balans;RGS versie 3.5;BLasAclAll;Hoofdsom achtergestelde schulden (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen lening o/g 4 | tags: balans_en_w&v; lening"
928;Lening o/g 5;B;Balans;RGS versie 3.5;BLasSakLvl;Hoofdsom leningen van kredietinstellingen (langlopend);55;Langlopende schulden;Credit;C;BOTH;"lening o/g 5 | tags: balans_en_w&v; lening"
929;Cumulatieve aflossingen lening o/g 5;B;Balans;RGS versie 3.5;BLasAclAll;Hoofdsom achtergestelde schulden (langlopend);55;Langlopende schulden;Debet;D;BOTH;"cumulatieve aflossingen lening o/g 5 | tags: balans_en_w&v; lening"
940;Reserve Uitgesteld Salaris;B;Balans;RGS versie 3.5;BLasOlsOsl;Hoofdsom overige schulden (langlopend);55;Langlopende schulden;Credit;C;BALANS;"reserve uitgesteld salaris | tags: balans; loon; personeel"
960;Financial Lease Volvo H-384-FP;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Credit;C;BALANS;financial lease volvo h-384-fp | tags: balans
961;Aflossingen lease 1;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Debet;D;BALANS;aflossingen lease 1 | tags: balans
962;Lease Range Rover HND05F;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Credit;C;BALANS;lease range rover hnd05f | tags: balans
963;Aflossingen lease Range Rover HND05F;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Debet;D;BALANS;aflossingen lease range rover hnd05f | tags: balans
964;Lease 3;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Credit;C;BALANS;lease 3 | tags: balans
965;Aflossingen lease  3;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Debet;D;BALANS;aflossingen lease  3 | tags: balans
966;Lease 4;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Credit;C;BALANS;lease 4 | tags: balans
967;Aflossingen lease 4;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Debet;D;BALANS;aflossingen lease 4 | tags: balans
968;Lease 5;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Credit;C;BALANS;lease 5 | tags: balans
969;Aflossingen lease 5;B;Balans;RGS versie 3.5;BLasFlvFlv;Hoofdsom financiële lease verplichtingen (langlopend);55;Langlopende schulden;Debet;D;BALANS;aflossingen lease 5 | tags: balans
980;Geactiveerde rente lease;B;Balans;RGS versie 3.5;BVorOvrTvo;Te vorderen overige rente;32;Overige activa;Debet;D;BALANS;"geactiveerde rente lease | tags: balans; rente"
1000;Kas 1;B;Balans;RGS versie 3.5;BLimKasKas;Kas kasmiddelen;10;Kas;Debet;D;BALANS;kas 1 | tags: balans
1010;Kas 2;B;Balans;RGS versie 3.5;BLimKasKas;Kas kasmiddelen;10;Kas;Debet;D;BALANS;kas 2 | tags: balans
1100;Bank 1;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 1 | tags: balans; bank"
1101;Rabobank Zakelijke rekening NL93 RABO 0144 3457 30;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"rabobank zakelijke rekening nl93 rabo 0144 3457 30 | tags: balans; bank"
1102;NL07 RABO 1340 1614 35;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;nl07 rabo 1340 1614 35 | tags: balans
1103;Rabobank BedrijfsSpaarRekening NL57 RABO 3469 6067 73;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"rabobank bedrijfsspaarrekening nl57 rabo 3469 6067 73 | tags: balans; bank"
1110;Bank 2;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 2 | tags: balans; bank"
1120;Bank 3;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 3 | tags: balans; bank"
1130;Bank 4;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 4 | tags: balans; bank"
1140;Bank 5;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 5 | tags: balans; bank"
1150;Bank 6;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 6 | tags: balans; bank"
1160;Bank 7;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 7 | tags: balans; bank"
1170;Bank 8;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 8 | tags: balans; bank"
1180;Bank 9;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 9 | tags: balans; bank"
1190;Bank 10;B;Balans;RGS versie 3.5;BLimBanRba;Rekening-courant bank tegoeden op bankgirorekeningen;12;Bank;Debet;D;BALANS;"bank 10 | tags: balans; bank"
1300;Debiteuren;B;Balans;RGS versie 3.5;BVorDebHad;Handelsdebiteuren nominaal;20;Debiteuren;Debet;D;BALANS;"debiteuren | tags: balans; debiteuren"
1310;Debiteuren zonder sub;B;Balans;RGS versie 3.5;BVorDebHad;Handelsdebiteuren nominaal;26;Vooruitbetalingen;Debet;D;BALANS;"debiteuren zonder sub | tags: balans; debiteuren"
1320;Voorziening dubieuze debiteuren;B;Balans;RGS versie 3.5;BVorDebVdd;Voorziening voor oninbaarheid op vorderingen op handelsdebiteuren;26;Vooruitbetalingen;Credit;C;BOTH;"voorziening dubieuze debiteuren | tags: balans_en_w&v; debiteuren"
1400;Rekening-courant groepsmaatschappijen 1;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 1 | tags: balans
1405;Rekening-courant groepsmaatschappijen 2;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 2 | tags: balans
1410;Rekening-courant groepsmaatschappijen 3;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 3 | tags: balans
1415;Rekening-courant groepsmaatschappijen 4;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 4 | tags: balans
1420;Rekening-courant groepsmaatschappijen 5;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 5 | tags: balans
1425;Rekening-courant groepsmaatschappijen 6;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 6 | tags: balans
1430;Rekening-courant groepsmaatschappijen 7;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 7 | tags: balans
1435;Rekening-courant groepsmaatschappijen 8;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 8 | tags: balans
1440;Rekening-courant groepsmaatschappijen 9;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 9 | tags: balans
1445;Rekening-courant groepsmaatschappijen 10;B;Balans;RGS versie 3.5;BSchSagSg1Klg;Kortlopend deel van langlopende schulden aan groepsmaatschappijen schulden aan groepsmaatschappijen;60;Overige schulden;Debet;D;BALANS;rekening-courant groepsmaatschappijen 10 | tags: balans
1450;Rekening-courant participanten;B;Balans;RGS versie 3.5;BVorOvrRcb;Rekening-courant bestuurders overige vorderingen (kortlopend);60;Overige schulden;Debet;D;BALANS;rekening-courant participanten | tags: balans
1460;Rekening-courant M.C.G. van Hattem;B;Balans;RGS versie 3.5;BVorOvrRcb;Rekening-courant bestuurders overige vorderingen (kortlopend);60;Overige schulden;Debet;D;BALANS;rekening-courant m.c.g. van hattem | tags: balans
1461;Rekening-courant directie 2;B;Balans;RGS versie 3.5;BVorOvrRcb;Rekening-courant bestuurders overige vorderingen (kortlopend);60;Overige schulden;Debet;D;BALANS;rekening-courant directie 2 | tags: balans
1490;Vraagposten;B;Balans;RGS versie 3.5;BSchOpaOop;Overige overlopende passiva overlopende passiva;60;Overige schulden;Debet;D;BALANS;vraagposten | tags: balans
1500;Af te dragen BTW hoog;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"af te dragen btw hoog | tags: balans_en_w&v; btw"
1510;Af te dragen BTW laag;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"af te dragen btw laag | tags: balans_en_w&v; btw"
1520;Af te dragen BTW verwerving goederen buiten EU;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"af te dragen btw verwerving goederen buiten eu | tags: balans_en_w&v; btw"
1530;Af te dragen BTW verwerving goederen binnen EU;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"af te dragen btw verwerving goederen binnen eu | tags: balans_en_w&v; btw"
1540;BTW prive-gebruik;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"btw prive-gebruik | tags: balans_en_w&v; btw"
1550;Te vorderen BTW;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"te vorderen btw | tags: balans_en_w&v; btw"
1555;BTW Kleine Ondernemersregeling;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"btw kleine ondernemersregeling | tags: balans_en_w&v; btw"
1560;BTW verlegd;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"btw verlegd | tags: balans_en_w&v; btw"
1570;BTW overige tarieven;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;24;Btw;Credit;C;BOTH;"btw overige tarieven | tags: balans_en_w&v; btw"
1590;BTW balanspost;B;Balans;RGS versie 3.5;BSchBepBtw;Te betalen Omzetbelasting;60;Overige schulden;Credit;C;BOTH;"btw balanspost | tags: balans_en_w&v; btw"
1600;Crediteuren;B;Balans;RGS versie 3.5;BSchCreHac;Handelscrediteuren nominaal schulden aan leveranciers en handelskredieten;22;Crediteuren;Credit;C;BALANS;"crediteuren | tags: balans; crediteuren"
